algorytm,grafy,czas,znalezione
seq,100,0.034089,0
openmp,100,0.021979,0
cuda,100,0.012334,0
seq,200,0.024003,0
openmp,200,0.028844,0
cuda,200,0.007086,0
seq,400,0.052506,0
openmp,400,0.043519,0
cuda,400,0.007179,0
seq,800,0.068590,0
openmp,800,0.060387,0
cuda,800,0.007852,0
seq,1600,0.100332,0
openmp,1600,0.098525,0
cuda,1600,0.012796,0
seq,3200,0.152135,0
openmp,3200,0.137912,0
cuda,3200,0.067297,0
seq,6400,0.236349,0
openmp,6400,0.222448,0
cuda,6400,0.141189,0
seq,12800,0.381829,0
openmp,12800,0.370144,0
cuda,12800,0.295941,0
seq,25600,0.670981,0
openmp,25600,0.659131,0
cuda,25600,0.590485,0
seq,51200,1.144321,0
openmp,51200,1.092730,0
cuda,51200,1.019945,0
seq,102400,1.997649,0
openmp,102400,2.121687,0
cuda,102400,1.822052,0
seq,204800,3.619777,0
openmp,204800,3.653809,0
cuda,204800,3.221786,0
seq,819200,13.441094,0
openmp,819200,10.241926,0
cuda,819200,9.169026,0
seq,1000000,16.306854,0
openmp,1000000,11.608496,0
cuda,1000000,10.593254,0
